p,size of spine,size of center,size of graph,Fp vertices in center
5,1,1,1,1
7,1,1,1,1
11,2,2,2,2
13,1,1,1,1
17,2,2,2,2
19,2,2,2,2
23,3,1,3,1
29,3,1,3,1
31,3,1,3,1
37,1,3,3,1
41,4,1,4,1
43,2,2,4,0
47,5,3,5,3
53,3,2,5,2
59,6,3,6,3
61,3,3,5,1
67,2,6,6,2
71,7,3,7,3
73,2,6,6,2
79,5,1,7,1
83,6,3,8,1
89,6,4,8,2
97,2,8,8,2
101,7,1,9,1
103,5,1,9,1
107,6,2,10,0
109,3,4,9,0
113,4,2,10,2
127,5,2,11,0
131,10,6,12,6
137,4,1,12,1
139,6,2,12,0
149,7,7,13,3
151,7,9,13,3
157,3,11,13,1
163,2,14,14,2
167,11,3,15,3
173,7,4,15,2
179,10,6,16,2
181,5,12,15,2
191,13,4,17,4
193,2,16,16,2
197,5,6,17,0
199,9,3,17,1
211,6,11,18,1
223,7,10,19,0
227,10,4,20,0
229,5,9,19,1
233,6,3,20,1
239,15,2,21,0
241,6,11,20,1
251,14,2,22,0
257,8,3,22,1
263,13,16,23,8
269,11,19,23,7
271,11,2,23,0
277,3,2,23,0
281,10,2,24,0
283,6,2,24,0
293,9,21,25,5
307,6,9,26,1
311,19,17,27,9
313,4,3,26,1
317,5,2,27,0
331,6,28,28,6
337,4,4,28,0
347,10,24,30,4
349,7,27,29,5
353,8,1,30,1
359,19,17,31,7
367,9,22,31,4
373,5,13,31,1
379,6,26,32,4
383,17,2,33,0
389,11,22,33,6
397,3,2,33,0
401,10,26,34,4
409,8,26,34,2
419,18,18,36,8
421,5,29,35,1
431,21,13,37,3
433,6,31,36,3
439,15,7,37,1
443,10,31,38,7
449,10,31,38,5
457,4,26,38,2
461,15,11,39,3
463,7,29,39,1
467,14,21,40,3
479,25,7,41,3
487,7,18,41,0
491,18,17,42,1
499,6,18,42,2
503,21,10,43,2
509,15,18,43,4
521,16,14,44,2
523,10,26,44,6
541,5,30,45,0
547,6,25,46,1
557,9,4,47,0
563,18,20,48,4
569,16,14,48,2
571,10,4,48,0
577,4,19,48,3
587,14,16,50,0
593,12,14,50,4
599,25,7,51,1
601,10,11,50,1
607,13,12,51,0
613,5,10,51,0
617,6,18,52,4
619,10,12,52,0
631,13,19,53,1
641,14,17,54,1
643,6,23,54,3
647,23,8,55,0
653,7,7,55,1
659,22,2,56,0
661,9,11,55,1
673,6,6,56,0
677,15,48,57,8
683,10,5,58,1
691,10,9,58,1
701,17,2,59,0
709,5,19,59,1
719,31,2,61,0
727,13,5,61,1
733,7,1,61,1
739,10,57,62,7
743,21,40,63,8
751,15,8,63,0
757,5,2,63,0
761,20,2,64,0
769,10,3,64,1
773,13,58,65,6
787,10,8,66,0
797,15,2,67,0
809,16,2,68,0
811,14,51,68,5
821,15,46,69,4
823,9,61,69,7
827,14,45,70,7
829,11,56,69,6
839,33,2,71,0
853,5,71,71,5
857,16,64,72,12
859,14,2,72,0
863,21,54,73,12
877,5,66,73,4
881,20,59,74,13
883,6,59,74,3
887,29,50,75,12
907,6,64,76,4
911,31,49,77,13
919,19,43,77,5
929,18,56,78,14
937,10,75,78,9
941,23,51,79,11
947,10,64,80,8
953,16,44,80,4
967,11,45,81,5
971,30,36,82,6
977,10,48,82,6
983,27,49,83,13
991,17,62,83,4
997,7,51,83,3
1009,10,69,84,7
1013,13,34,85,6
1019,26,48,86,8
1021,11,70,85,6
1031,35,31,87,3
1033,6,48,86,4
1039,23,49,87,5
1049,22,64,88,12
1051,10,49,88,1
1061,13,41,89,5
1063,19,53,89,3
1069,15,60,89,4
1087,9,75,91,5
1091,34,44,92,4
1093,5,66,91,0
1097,18,42,92,8
1103,23,48,93,6
1109,25,46,93,6
1117,7,33,93,1
1123,10,79,94,5
1129,8,60,94,6
1151,41,25,97,1
1153,8,49,96,1
1163,14,29,98,3
1171,14,42,98,2
1181,23,54,99,6
1187,18,19,100,1
1193,18,39,100,11
1201,8,34,100,0
1213,5,35,101,1
1217,16,49,102,7
1223,35,37,103,3
1229,19,58,103,4
1231,27,38,103,0
1237,7,49,103,3
1249,16,56,104,4
1259,30,29,106,3
1277,17,29,107,3
1279,23,28,107,0
1283,22,22,108,4
1289,18,57,108,9
1291,18,46,108,4
1297,6,61,108,3
1301,25,53,109,3
1303,11,48,109,0
1307,22,59,110,5
1319,45,24,111,0
1321,12,46,110,4
1327,15,42,111,0
1361,30,23,114,1
1367,25,3,115,1
1373,9,28,115,0
1381,13,35,115,1
1399,27,25,117,1
1409,18,27,118,5
1423,9,23,119,1
1427,30,14,120,2
1429,11,12,119,0
1433,18,14,120,0
1439,39,16,121,0
1447,23,10,121,0
1451,26,8,122,0
1453,7,25,121,1
1459,22,26,122,0
1471,23,20,123,0
1481,26,26,124,0
1483,14,45,124,3
1487,37,19,125,1
1489,10,36,124,0
1493,11,4,125,0
1499,26,4,126,0
1511,49,6,127,0
1523,14,12,128,2
1531,22,10,128,0
1543,19,15,129,1
1549,9,10,129,2
1553,20,13,130,1
1559,51,8,131,0
1567,15,15,131,1
1571,34,10,132,0
1579,18,23,132,1
1583,33,10,133,0
